"gene","ensmble_gene_gps","trait_exwas_ei","trait_gps","gene_trait_pair_exwas_ei","gene_trait_pair_gps","gene_tait_pair_merged","source"
"GRIA3","ENSG00000125675",NA,"Develomental delays and disorders",NA,"ENSG00000125675_Develomental delays and disorders","ENSG00000125675_Develomental delays and disorders","GPS"
"GRIK2","ENSG00000164418",NA,"Develomental delays and disorders",NA,"ENSG00000164418_Develomental delays and disorders","ENSG00000164418_Develomental delays and disorders","GPS"
"GRIN1","ENSG00000176884",NA,"Epilepsy, recurrent seizures, convulsions",NA,"ENSG00000176884_Epilepsy, recurrent seizures, convulsions","ENSG00000176884_Epilepsy, recurrent seizures, convulsions","GPS"
"GRIN2A","ENSG00000183454",NA,"Epilepsy, recurrent seizures, convulsions",NA,"ENSG00000183454_Epilepsy, recurrent seizures, convulsions","ENSG00000183454_Epilepsy, recurrent seizures, convulsions","GPS"
"GRIN2B","ENSG00000273079",NA,"Epilepsy, recurrent seizures, convulsions",NA,"ENSG00000273079_Epilepsy, recurrent seizures, convulsions","ENSG00000273079_Epilepsy, recurrent seizures, convulsions","GPS"
"INSR","ENSG00000171105",NA,"Other disorders of pancreatic internal secretion",NA,"ENSG00000171105_Other disorders of pancreatic internal secretion","ENSG00000171105_Other disorders of pancreatic internal secretion","GPS"
"ITGA2B","ENSG00000005961",NA,"Purpura and other hemorrhagic conditions",NA,"ENSG00000005961_Purpura and other hemorrhagic conditions","ENSG00000005961_Purpura and other hemorrhagic conditions","GPS"
"ITGB3","ENSG00000259207",NA,"Purpura and other hemorrhagic conditions",NA,"ENSG00000259207_Purpura and other hemorrhagic conditions","ENSG00000259207_Purpura and other hemorrhagic conditions","GPS"
"KCNH2","ENSG00000055118",NA,"Cardiac conduction disorders",NA,"ENSG00000055118_Cardiac conduction disorders","ENSG00000055118_Cardiac conduction disorders","GPS"
"KCNJ11","ENSG00000187486",NA,"Other disorders of pancreatic internal secretion",NA,"ENSG00000187486_Other disorders of pancreatic internal secretion","ENSG00000187486_Other disorders of pancreatic internal secretion","GPS"
"KCNJ5","ENSG00000120457",NA,"Cardiac conduction disorders",NA,"ENSG00000120457_Cardiac conduction disorders","ENSG00000120457_Cardiac conduction disorders","GPS"
"KCNQ1","ENSG00000053918",NA,"Cardiac dysrhythmias",NA,"ENSG00000053918_Cardiac dysrhythmias","ENSG00000053918_Cardiac dysrhythmias","GPS"
"MAOA","ENSG00000189221",NA,"Develomental delays and disorders",NA,"ENSG00000189221_Develomental delays and disorders","ENSG00000189221_Develomental delays and disorders","GPS"
"MPL","ENSG00000117400",NA,"Aplastic anemia",NA,"ENSG00000117400_Aplastic anemia","ENSG00000117400_Aplastic anemia","GPS"
"MPL","ENSG00000117400",NA,"Purpura and other hemorrhagic conditions",NA,"ENSG00000117400_Purpura and other hemorrhagic conditions","ENSG00000117400_Purpura and other hemorrhagic conditions","GPS"
"MTTP","ENSG00000138823",NA,"Other disorders of metabolism",NA,"ENSG00000138823_Other disorders of metabolism","ENSG00000138823_Other disorders of metabolism","GPS"
"NDUFS4","ENSG00000164258",NA,"Disorders of fluid, electrolyte, and acid-base balance",NA,"ENSG00000164258_Disorders of fluid, electrolyte, and acid-base balance","ENSG00000164258_Disorders of fluid, electrolyte, and acid-base balance","GPS"
"RET","ENSG00000165731",NA,"Thyroid cancer",NA,"ENSG00000165731_Thyroid cancer","ENSG00000165731_Thyroid cancer","GPS"
"RYR1","ENSG00000196218",NA,"Muscular dystrophies and other myopathies",NA,"ENSG00000196218_Muscular dystrophies and other myopathies","ENSG00000196218_Muscular dystrophies and other myopathies","GPS"
"RYR1","ENSG00000196218",NA,"Cardiac dysrhythmias",NA,"ENSG00000196218_Cardiac dysrhythmias","ENSG00000196218_Cardiac dysrhythmias","GPS"
"RYR1","ENSG00000196218",NA,"Fever of unknown origin",NA,"ENSG00000196218_Fever of unknown origin","ENSG00000196218_Fever of unknown origin","GPS"
"RYR2","ENSG00000198626",NA,"Cardiac dysrhythmias",NA,"ENSG00000198626_Cardiac dysrhythmias","ENSG00000198626_Cardiac dysrhythmias","GPS"
"SCN1A","ENSG00000144285",NA,"Develomental delays and disorders",NA,"ENSG00000144285_Develomental delays and disorders","ENSG00000144285_Develomental delays and disorders","GPS"
"SCN1A","ENSG00000144285",NA,"Extrapyramidal disease and abnormal movement disorders",NA,"ENSG00000144285_Extrapyramidal disease and abnormal movement disorders","ENSG00000144285_Extrapyramidal disease and abnormal movement disorders","GPS"
"SCN1A","ENSG00000144285",NA,"Migraine",NA,"ENSG00000144285_Migraine","ENSG00000144285_Migraine","GPS"
"SCN1B","ENSG00000105711",NA,"Epilepsy, recurrent seizures, convulsions",NA,"ENSG00000105711_Epilepsy, recurrent seizures, convulsions","ENSG00000105711_Epilepsy, recurrent seizures, convulsions","GPS"
"SCN1B","ENSG00000105711",NA,"Cardiac dysrhythmias",NA,"ENSG00000105711_Cardiac dysrhythmias","ENSG00000105711_Cardiac dysrhythmias","GPS"
"SCN2A","ENSG00000136531",NA,"Develomental delays and disorders",NA,"ENSG00000136531_Develomental delays and disorders","ENSG00000136531_Develomental delays and disorders","GPS"
"SCN2A","ENSG00000136531",NA,"Degenerative disease of the spinal cord",NA,"ENSG00000136531_Degenerative disease of the spinal cord","ENSG00000136531_Degenerative disease of the spinal cord","GPS"
"SCN3A","ENSG00000153253",NA,"Epilepsy, recurrent seizures, convulsions",NA,"ENSG00000153253_Epilepsy, recurrent seizures, convulsions","ENSG00000153253_Epilepsy, recurrent seizures, convulsions","GPS"
"SCN4A","ENSG00000007314",NA,"Muscular dystrophies and other myopathies",NA,"ENSG00000007314_Muscular dystrophies and other myopathies","ENSG00000007314_Muscular dystrophies and other myopathies","GPS"
"SCN4A","ENSG00000007314",NA,"Symptoms of the muscles",NA,"ENSG00000007314_Symptoms of the muscles","ENSG00000007314_Symptoms of the muscles","GPS"
"SCN5A","ENSG00000183873",NA,"Cardiomyopathy",NA,"ENSG00000183873_Cardiomyopathy","ENSG00000183873_Cardiomyopathy","GPS"
"SCN5A","ENSG00000183873",NA,"Cardiac conduction disorders",NA,"ENSG00000183873_Cardiac conduction disorders","ENSG00000183873_Cardiac conduction disorders","GPS"
"SCN8A","ENSG00000196876",NA,"Develomental delays and disorders",NA,"ENSG00000196876_Develomental delays and disorders","ENSG00000196876_Develomental delays and disorders","GPS"
"SCN8A","ENSG00000196876",NA,"Extrapyramidal disease and abnormal movement disorders",NA,"ENSG00000196876_Extrapyramidal disease and abnormal movement disorders","ENSG00000196876_Extrapyramidal disease and abnormal movement disorders","GPS"
"SCN8A","ENSG00000196876",NA,"Epilepsy, recurrent seizures, convulsions",NA,"ENSG00000196876_Epilepsy, recurrent seizures, convulsions","ENSG00000196876_Epilepsy, recurrent seizures, convulsions","GPS"
"SLC6A1","ENSG00000157103",NA,"Epilepsy, recurrent seizures, convulsions",NA,"ENSG00000157103_Epilepsy, recurrent seizures, convulsions","ENSG00000157103_Epilepsy, recurrent seizures, convulsions","GPS"
"SLC6A3","ENSG00000142319",NA,"Extrapyramidal disease and abnormal movement disorders",NA,"ENSG00000142319_Extrapyramidal disease and abnormal movement disorders","ENSG00000142319_Extrapyramidal disease and abnormal movement disorders","GPS"
"TTR","ENSG00000118271",NA,"Disorders of protein plasma/amino-acid transport and metabolism",NA,"ENSG00000118271_Disorders of protein plasma/amino-acid transport and metabolism","ENSG00000118271_Disorders of protein plasma/amino-acid transport and metabolism","GPS"
"ACE","ENSG00000159640",NA,"Genitourinary congenital anomalies",NA,"ENSG00000159640_Genitourinary congenital anomalies","ENSG00000159640_Genitourinary congenital anomalies","GPS"
"ATP1A2","ENSG00000018625",NA,"Epilepsy, recurrent seizures, convulsions",NA,"ENSG00000018625_Epilepsy, recurrent seizures, convulsions","ENSG00000018625_Epilepsy, recurrent seizures, convulsions","GPS"
"ATP1A3","ENSG00000105409",NA,"Epilepsy, recurrent seizures, convulsions",NA,"ENSG00000105409_Epilepsy, recurrent seizures, convulsions","ENSG00000105409_Epilepsy, recurrent seizures, convulsions","GPS"
"CFTR","ENSG00000001626",NA,"Chronic airway obstruction",NA,"ENSG00000001626_Chronic airway obstruction","ENSG00000001626_Chronic airway obstruction","GPS"
"COL2A1","ENSG00000139219",NA,"Other retinal disorders",NA,"ENSG00000139219_Other retinal disorders","ENSG00000139219_Other retinal disorders","GPS"
"CYP17A1","ENSG00000148795",NA,"Disorders of adrenal glands",NA,"ENSG00000148795_Disorders of adrenal glands","ENSG00000148795_Disorders of adrenal glands","GPS"
"DMD","ENSG00000198947",NA,"Muscular dystrophies and other myopathies",NA,"ENSG00000198947_Muscular dystrophies and other myopathies","ENSG00000198947_Muscular dystrophies and other myopathies","GPS"
"ERBB3","ENSG00000065361",NA,"Leukemia",NA,"ENSG00000065361_Leukemia","ENSG00000065361_Leukemia","GPS"
"F2","ENSG00000180210",NA,"Coagulation defects",NA,"ENSG00000180210_Coagulation defects","ENSG00000180210_Coagulation defects","GPS"
"F9","ENSG00000101981",NA,"Coagulation defects",NA,"ENSG00000101981_Coagulation defects","ENSG00000101981_Coagulation defects","GPS"
"FGFR3","ENSG00000068078",NA,"Other congenital musculoskeletal anomalies",NA,"ENSG00000068078_Other congenital musculoskeletal anomalies","ENSG00000068078_Other congenital musculoskeletal anomalies","GPS"
"GRIN1","ENSG00000176884",NA,"Develomental delays and disorders",NA,"ENSG00000176884_Develomental delays and disorders","ENSG00000176884_Develomental delays and disorders","GPS"
"GRIN2A","ENSG00000183454",NA,"Develomental delays and disorders",NA,"ENSG00000183454_Develomental delays and disorders","ENSG00000183454_Develomental delays and disorders","GPS"
"GRIN2B","ENSG00000273079",NA,"Develomental delays and disorders",NA,"ENSG00000273079_Develomental delays and disorders","ENSG00000273079_Develomental delays and disorders","GPS"
"HBA1","ENSG00000206172",NA,"Hereditary hemolytic anemias",NA,"ENSG00000206172_Hereditary hemolytic anemias","ENSG00000206172_Hereditary hemolytic anemias","GPS"
"HBA2","ENSG00000188536",NA,"Hereditary hemolytic anemias",NA,"ENSG00000188536_Hereditary hemolytic anemias","ENSG00000188536_Hereditary hemolytic anemias","GPS"
"IMPDH1","ENSG00000106348",NA,"Other retinal disorders",NA,"ENSG00000106348_Other retinal disorders","ENSG00000106348_Other retinal disorders","GPS"
"KCND3","ENSG00000171385",NA,"Degenerative disease of the spinal cord",NA,"ENSG00000171385_Degenerative disease of the spinal cord","ENSG00000171385_Degenerative disease of the spinal cord","GPS"
"KCNQ2","ENSG00000075043",NA,"Epilepsy, recurrent seizures, convulsions",NA,"ENSG00000075043_Epilepsy, recurrent seizures, convulsions","ENSG00000075043_Epilepsy, recurrent seizures, convulsions","GPS"
"KCNQ3","ENSG00000184156",NA,"Epilepsy, recurrent seizures, convulsions",NA,"ENSG00000184156_Epilepsy, recurrent seizures, convulsions","ENSG00000184156_Epilepsy, recurrent seizures, convulsions","GPS"
"KIT","ENSG00000157404",NA,"Disease of capillaries",NA,"ENSG00000157404_Disease of capillaries","ENSG00000157404_Disease of capillaries","GPS"
"KIT","ENSG00000157404",NA,"Urticaria",NA,"ENSG00000157404_Urticaria","ENSG00000157404_Urticaria","GPS"
"MPL","ENSG00000117400",NA,"Myeloproliferative disease",NA,"ENSG00000117400_Myeloproliferative disease","ENSG00000117400_Myeloproliferative disease","GPS"
"NDUFS1","ENSG00000023228",NA,"Other cerebral degenerations",NA,"ENSG00000023228_Other cerebral degenerations","ENSG00000023228_Other cerebral degenerations","GPS"
"NDUFS4","ENSG00000164258",NA,"Other cerebral degenerations",NA,"ENSG00000164258_Other cerebral degenerations","ENSG00000164258_Other cerebral degenerations","GPS"
"NDUFV1","ENSG00000167792",NA,"Other cerebral degenerations",NA,"ENSG00000167792_Other cerebral degenerations","ENSG00000167792_Other cerebral degenerations","GPS"
"PIK3CA","ENSG00000121879",NA,"Breast cancer",NA,"ENSG00000121879_Breast cancer","ENSG00000121879_Breast cancer","GPS"
"PPARG","ENSG00000132170",NA,"Other disorders of metabolism",NA,"ENSG00000132170_Other disorders of metabolism","ENSG00000132170_Other disorders of metabolism","GPS"
"PPARG","ENSG00000132170",NA,"Overweight, obesity and other hyperalimentation",NA,"ENSG00000132170_Overweight, obesity and other hyperalimentation","ENSG00000132170_Overweight, obesity and other hyperalimentation","GPS"
"PTH1R","ENSG00000160801",NA,"Other congenital musculoskeletal anomalies",NA,"ENSG00000160801_Other congenital musculoskeletal anomalies","ENSG00000160801_Other congenital musculoskeletal anomalies","GPS"
"SCN1A","ENSG00000144285",NA,"Congenital anomalies of face and neck",NA,"ENSG00000144285_Congenital anomalies of face and neck","ENSG00000144285_Congenital anomalies of face and neck","GPS"
"SCN4A","ENSG00000007314",NA,"Myalgia and myositis unspecified",NA,"ENSG00000007314_Myalgia and myositis unspecified","ENSG00000007314_Myalgia and myositis unspecified","GPS"
"SCN8A","ENSG00000196876",NA,"Pervasive developmental disorders",NA,"ENSG00000196876_Pervasive developmental disorders","ENSG00000196876_Pervasive developmental disorders","GPS"
"SIGMAR1","ENSG00000147955",NA,"Degenerative disease of the spinal cord",NA,"ENSG00000147955_Degenerative disease of the spinal cord","ENSG00000147955_Degenerative disease of the spinal cord","GPS"
"SMN1","ENSG00000172062",NA,"Degenerative disease of the spinal cord",NA,"ENSG00000172062_Degenerative disease of the spinal cord","ENSG00000172062_Degenerative disease of the spinal cord","GPS"
"THRA","ENSG00000126351",NA,"Hypothyroidism",NA,"ENSG00000126351_Hypothyroidism","ENSG00000126351_Hypothyroidism","GPS"
"TTR","ENSG00000118271",NA,"Cardiomyopathy",NA,"ENSG00000118271_Cardiomyopathy","ENSG00000118271_Cardiomyopathy","GPS"
"SCN5A","ENSG00000183873",NA,"Abnormal heart sounds",NA,"ENSG00000183873_Abnormal heart sounds","ENSG00000183873_Abnormal heart sounds","GPS"
"SCN5A","ENSG00000183873",NA,"Ill-defined descriptions and complications of heart disease",NA,"ENSG00000183873_Ill-defined descriptions and complications of heart disease","ENSG00000183873_Ill-defined descriptions and complications of heart disease","GPS"
"F10","ENSG00000126218",NA,"Ischemic heart disease",NA,"ENSG00000126218_Ischemic heart disease","ENSG00000126218_Ischemic heart disease","GPS"
"COL1A1","ENSG00000108821",NA,"Other retinal disorders",NA,"ENSG00000108821_Other retinal disorders","ENSG00000108821_Other retinal disorders","GPS"
"EGFR","ENSG00000146648",NA,"Colorectal cancer",NA,"ENSG00000146648_Colorectal cancer","ENSG00000146648_Colorectal cancer","GPS"
"F10","ENSG00000126218",NA,"Other disorders of liver",NA,"ENSG00000126218_Other disorders of liver","ENSG00000126218_Other disorders of liver","GPS"
"GHR","ENSG00000112964",NA,"Secondary diabetes mellitus",NA,"ENSG00000112964_Secondary diabetes mellitus","ENSG00000112964_Secondary diabetes mellitus","GPS"
"GHR","ENSG00000112964",NA,"Diabetes mellitus",NA,"ENSG00000112964_Diabetes mellitus","ENSG00000112964_Diabetes mellitus","GPS"
"MET","ENSG00000105976",NA,"Colorectal cancer",NA,"ENSG00000105976_Colorectal cancer","ENSG00000105976_Colorectal cancer","GPS"
"ACE","ENSG00000159640",NA,"Hypertension",NA,"ENSG00000159640_Hypertension","ENSG00000159640_Hypertension","GPS"
"CACNB2","ENSG00000165995",NA,"Hypertension",NA,"ENSG00000165995_Hypertension","ENSG00000165995_Hypertension","GPS"
"CHRNA4","ENSG00000101204",NA,"Chronic airway obstruction",NA,"ENSG00000101204_Chronic airway obstruction","ENSG00000101204_Chronic airway obstruction","GPS"
"DRD2","ENSG00000149295",NA,"Mood disorders",NA,"ENSG00000149295_Mood disorders","ENSG00000149295_Mood disorders","GPS"
"FLT3","ENSG00000122025",NA,"Hypothyroidism",NA,"ENSG00000122025_Hypothyroidism","ENSG00000122025_Hypothyroidism","GPS"
"GRIK2","ENSG00000164418",NA,"Mood disorders",NA,"ENSG00000164418_Mood disorders","ENSG00000164418_Mood disorders","GPS"
"GUCY1B1","ENSG00000061918",NA,"Ischemic heart disease",NA,"ENSG00000061918_Ischemic heart disease","ENSG00000061918_Ischemic heart disease","GPS"
"PDE4A","ENSG00000065989",NA,"Psoriasis and related disorders",NA,"ENSG00000065989_Psoriasis and related disorders","ENSG00000065989_Psoriasis and related disorders","GPS"
"GRIN2A","ENSG00000183454",NA,"Mood disorders",NA,"ENSG00000183454_Mood disorders","ENSG00000183454_Mood disorders","GPS"
"IL4R","ENSG00000077238",NA,"Other symptoms of respiratory system",NA,"ENSG00000077238_Other symptoms of respiratory system","ENSG00000077238_Other symptoms of respiratory system","GPS"
"INSR","ENSG00000171105",NA,"Hypertension",NA,"ENSG00000171105_Hypertension","ENSG00000171105_Hypertension","GPS"
"TERT","ENSG00000164362",NA,"Cancer within the respiratory system",NA,"ENSG00000164362_Cancer within the respiratory system","ENSG00000164362_Cancer within the respiratory system","GPS"
"NPR1","ENSG00000169418",NA,"Hypertension",NA,"ENSG00000169418_Hypertension","ENSG00000169418_Hypertension","GPS"
"F5","ENSG00000198734",NA,"Pulmonary heart disease",NA,"ENSG00000198734_Pulmonary heart disease","ENSG00000198734_Pulmonary heart disease","GPS"
"CSK","ENSG00000103653",NA,"Hypertension",NA,"ENSG00000103653_Hypertension","ENSG00000103653_Hypertension","GPS"
"SOST","ENSG00000167941",NA,"Osteoporosis, osteopenia and pathological fracture",NA,"ENSG00000167941_Osteoporosis, osteopenia and pathological fracture","ENSG00000167941_Osteoporosis, osteopenia and pathological fracture","GPS"
"F2","ENSG00000180210",NA,"Pulmonary heart disease",NA,"ENSG00000180210_Pulmonary heart disease","ENSG00000180210_Pulmonary heart disease","GPS"
"IGF1R","ENSG00000140443",NA,"Diabetes mellitus",NA,"ENSG00000140443_Diabetes mellitus","ENSG00000140443_Diabetes mellitus","GPS"
"IL2RA","ENSG00000134460",NA,"Diabetes mellitus",NA,"ENSG00000134460_Diabetes mellitus","ENSG00000134460_Diabetes mellitus","GPS"
"IL2RA","ENSG00000134460",NA,"Psoriasis and related disorders",NA,"ENSG00000134460_Psoriasis and related disorders","ENSG00000134460_Psoriasis and related disorders","GPS"
"IL2RA","ENSG00000134460",NA,"Diseases of hair and hair follicles",NA,"ENSG00000134460_Diseases of hair and hair follicles","ENSG00000134460_Diseases of hair and hair follicles","GPS"
"IL4R","ENSG00000077238",NA,"Atopic/contact dermatitis due to other or unspecified",NA,"ENSG00000077238_Atopic/contact dermatitis due to other or unspecified","ENSG00000077238_Atopic/contact dermatitis due to other or unspecified","GPS"
"SLC5A1","ENSG00000100170",NA,"Diabetes mellitus",NA,"ENSG00000100170_Diabetes mellitus","ENSG00000100170_Diabetes mellitus","GPS"
"AR","ENSG00000169083",NA,"Other endocrine disorders",NA,"ENSG00000169083_Other endocrine disorders","ENSG00000169083_Other endocrine disorders","GPS"
"AVPR2","ENSG00000126895",NA,"Disorders resulting from impaired renal function",NA,"ENSG00000126895_Disorders resulting from impaired renal function","ENSG00000126895_Disorders resulting from impaired renal function","GPS"
"CFTR","ENSG00000001626",NA,"Cystic fibrosis",NA,"ENSG00000001626_Cystic fibrosis","ENSG00000001626_Cystic fibrosis","GPS"
"CYP19A1","ENSG00000137869",NA,"Menopausal and postmenopausal disorders",NA,"ENSG00000137869_Menopausal and postmenopausal disorders","ENSG00000137869_Menopausal and postmenopausal disorders","GPS"
"ETFDH","ENSG00000171503",NA,"Other disorders of metabolism",NA,"ENSG00000171503_Other disorders of metabolism","ENSG00000171503_Other disorders of metabolism","GPS"
"GABRB3","ENSG00000166206",NA,"Congenital anomalies of skin",NA,"ENSG00000166206_Congenital anomalies of skin","ENSG00000166206_Congenital anomalies of skin","GPS"
"GABRG2","ENSG00000113327",NA,"Congenital anomalies of skin",NA,"ENSG00000113327_Congenital anomalies of skin","ENSG00000113327_Congenital anomalies of skin","GPS"
"GNRHR","ENSG00000109163",NA,"Other endocrine disorders",NA,"ENSG00000109163_Other endocrine disorders","ENSG00000109163_Other endocrine disorders","GPS"
"KIT","ENSG00000157404",NA,"Cancer of bone and connective tissue",NA,"ENSG00000157404_Cancer of bone and connective tissue","ENSG00000157404_Cancer of bone and connective tissue","GPS"
"MC2R","ENSG00000185231",NA,"Disorders of adrenal glands",NA,"ENSG00000185231_Disorders of adrenal glands","ENSG00000185231_Disorders of adrenal glands","GPS"
"P2RY12","ENSG00000169313",NA,"Purpura and other hemorrhagic conditions",NA,"ENSG00000169313_Purpura and other hemorrhagic conditions","ENSG00000169313_Purpura and other hemorrhagic conditions","GPS"
"PDGFRA","ENSG00000134853",NA,"Cancer of bone and connective tissue",NA,"ENSG00000134853_Cancer of bone and connective tissue","ENSG00000134853_Cancer of bone and connective tissue","GPS"
"RET","ENSG00000165731",NA,"Neoplasm of uncertain behavior",NA,"ENSG00000165731_Neoplasm of uncertain behavior","ENSG00000165731_Neoplasm of uncertain behavior","GPS"
"SCN9A","ENSG00000169432",NA,"Epilepsy, recurrent seizures, convulsions",NA,"ENSG00000169432_Epilepsy, recurrent seizures, convulsions","ENSG00000169432_Epilepsy, recurrent seizures, convulsions","GPS"
"SLC12A3","ENSG00000070915",NA,"Nephritis; nephrosis; renal sclerosis",NA,"ENSG00000070915_Nephritis; nephrosis; renal sclerosis","ENSG00000070915_Nephritis; nephrosis; renal sclerosis","GPS"
"TRHR","ENSG00000174417",NA,"Hypothyroidism",NA,"ENSG00000174417_Hypothyroidism","ENSG00000174417_Hypothyroidism","GPS"
"XDH","ENSG00000158125",NA,"Other disorders of metabolism",NA,"ENSG00000158125_Other disorders of metabolism","ENSG00000158125_Other disorders of metabolism","GPS"
"CD19","ENSG00000177455",NA,"Disorders involving the immune mechanism",NA,"ENSG00000177455_Disorders involving the immune mechanism","ENSG00000177455_Disorders involving the immune mechanism","GPS"
"CHEK2","ENSG00000183765",NA,"Cancer of other female genital organs",NA,"ENSG00000183765_Cancer of other female genital organs","ENSG00000183765_Cancer of other female genital organs","GPS"
"CPS1","ENSG00000021826",NA,"Disorders of protein plasma/amino-acid transport and metabolism",NA,"ENSG00000021826_Disorders of protein plasma/amino-acid transport and metabolism","ENSG00000021826_Disorders of protein plasma/amino-acid transport and metabolism","GPS"
"CSF3R","ENSG00000119535",NA,"Diseases of white blood cells",NA,"ENSG00000119535_Diseases of white blood cells","ENSG00000119535_Diseases of white blood cells","GPS"
"F12","ENSG00000131187",NA,"Urticaria",NA,"ENSG00000131187_Urticaria","ENSG00000131187_Urticaria","GPS"
"FGFR1","ENSG00000077782",NA,"Other and unspecified congenital anomalies",NA,"ENSG00000077782_Other and unspecified congenital anomalies","ENSG00000077782_Other and unspecified congenital anomalies","GPS"
"FGFR3","ENSG00000068078",NA,"Other and unspecified congenital anomalies",NA,"ENSG00000068078_Other and unspecified congenital anomalies","ENSG00000068078_Other and unspecified congenital anomalies","GPS"
"GHR","ENSG00000112964",NA,"Other endocrine disorders",NA,"ENSG00000112964_Other endocrine disorders","ENSG00000112964_Other endocrine disorders","GPS"
"GLA","ENSG00000102393",NA,"Other disorders of metabolism",NA,"ENSG00000102393_Other disorders of metabolism","ENSG00000102393_Other disorders of metabolism","GPS"
"GNRHR","ENSG00000109163",NA,"Disorders of the pituitary gland and its hypothalamic control",NA,"ENSG00000109163_Disorders of the pituitary gland and its hypothalamic control","ENSG00000109163_Disorders of the pituitary gland and its hypothalamic control","GPS"
"IGF1R","ENSG00000140443",NA,"Other endocrine disorders",NA,"ENSG00000140443_Other endocrine disorders","ENSG00000140443_Other endocrine disorders","GPS"
"IL2RA","ENSG00000134460",NA,"Disorders involving the immune mechanism",NA,"ENSG00000134460_Disorders involving the immune mechanism","ENSG00000134460_Disorders involving the immune mechanism","GPS"
"JAK3","ENSG00000105639",NA,"Disorders involving the immune mechanism",NA,"ENSG00000105639_Disorders involving the immune mechanism","ENSG00000105639_Disorders involving the immune mechanism","GPS"
"KIT","ENSG00000157404",NA,"Myeloproliferative disease",NA,"ENSG00000157404_Myeloproliferative disease","ENSG00000157404_Myeloproliferative disease","GPS"
"KIT","ENSG00000157404",NA,"Disorders of protein plasma/amino-acid transport and metabolism",NA,"ENSG00000157404_Disorders of protein plasma/amino-acid transport and metabolism","ENSG00000157404_Disorders of protein plasma/amino-acid transport and metabolism","GPS"
"KIT","ENSG00000157404",NA,"Congenital anomalies of skin",NA,"ENSG00000157404_Congenital anomalies of skin","ENSG00000157404_Congenital anomalies of skin","GPS"
"NDUFA13","ENSG00000186010",NA,"Other cerebral degenerations",NA,"ENSG00000186010_Other cerebral degenerations","ENSG00000186010_Other cerebral degenerations","GPS"
"NDUFB11","ENSG00000147123",NA,"Develomental delays and disorders",NA,"ENSG00000147123_Develomental delays and disorders","ENSG00000147123_Develomental delays and disorders","GPS"
"NDUFS3","ENSG00000213619",NA,"Other cerebral degenerations",NA,"ENSG00000213619_Other cerebral degenerations","ENSG00000213619_Other cerebral degenerations","GPS"
"NDUFS7","ENSG00000115286",NA,"Other cerebral degenerations",NA,"ENSG00000115286_Other cerebral degenerations","ENSG00000115286_Other cerebral degenerations","GPS"
"NDUFS8","ENSG00000110717",NA,"Other cerebral degenerations",NA,"ENSG00000110717_Other cerebral degenerations","ENSG00000110717_Other cerebral degenerations","GPS"
"NR1H4","ENSG00000012504",NA,"Other biliary tract disease",NA,"ENSG00000012504_Other biliary tract disease","ENSG00000012504_Other biliary tract disease","GPS"
"PAH","ENSG00000171759",NA,"Disorders of protein plasma/amino-acid transport and metabolism",NA,"ENSG00000171759_Disorders of protein plasma/amino-acid transport and metabolism","ENSG00000171759_Disorders of protein plasma/amino-acid transport and metabolism","GPS"
"POLD1","ENSG00000062822",NA,"Colorectal cancer",NA,"ENSG00000062822_Colorectal cancer","ENSG00000062822_Colorectal cancer","GPS"
"RET","ENSG00000165731",NA,"Breast cancer",NA,"ENSG00000165731_Breast cancer","ENSG00000165731_Breast cancer","GPS"
"SCN11A","ENSG00000168356",NA,"Hereditary and idiopathic peripheral neuropathy",NA,"ENSG00000168356_Hereditary and idiopathic peripheral neuropathy","ENSG00000168356_Hereditary and idiopathic peripheral neuropathy","GPS"
"SCN9A","ENSG00000169432",NA,"Hereditary and idiopathic peripheral neuropathy",NA,"ENSG00000169432_Hereditary and idiopathic peripheral neuropathy","ENSG00000169432_Hereditary and idiopathic peripheral neuropathy","GPS"
"TTR","ENSG00000118271",NA,"Other forms of chronic heart disease",NA,"ENSG00000118271_Other forms of chronic heart disease","ENSG00000118271_Other forms of chronic heart disease","GPS"
"TYK2","ENSG00000105397",NA,"Disorders involving the immune mechanism",NA,"ENSG00000105397_Disorders involving the immune mechanism","ENSG00000105397_Disorders involving the immune mechanism","GPS"
"ANGPTL3","ENSG00000132855",NA,"Other disorders of metabolism",NA,"ENSG00000132855_Other disorders of metabolism","ENSG00000132855_Other disorders of metabolism","GPS"
"DHFR","ENSG00000228716",NA,"Other disorders of liver",NA,"ENSG00000228716_Other disorders of liver","ENSG00000228716_Other disorders of liver","GPS"
"IL2RB","ENSG00000100385",NA,"Other disorders of liver",NA,"ENSG00000100385_Other disorders of liver","ENSG00000100385_Other disorders of liver","GPS"
"NDUFS4","ENSG00000164258",NA,"Other disorders of liver",NA,"ENSG00000164258_Other disorders of liver","ENSG00000164258_Other disorders of liver","GPS"
"HCN3","ENSG00000143630",NA,"Cardiac dysrhythmias",NA,"ENSG00000143630_Cardiac dysrhythmias","ENSG00000143630_Cardiac dysrhythmias","GPS"
"KCNH2","ENSG00000055118",NA,"Ischemic heart disease",NA,"ENSG00000055118_Ischemic heart disease","ENSG00000055118_Ischemic heart disease","GPS"
"SCN10A","ENSG00000185313",NA,"Cardiac conduction disorders",NA,"ENSG00000185313_Cardiac conduction disorders","ENSG00000185313_Cardiac conduction disorders","GPS"
"CACNA2D1","ENSG00000153956",NA,"Mood disorders",NA,"ENSG00000153956_Mood disorders","ENSG00000153956_Mood disorders","GPS"
